name,latitude,longitude
CentrepointPlaza,-36.38314199999999,145.3998843
Centrefair,-36.3794815,145.4004291
Shepparton Market Plaza,-36.3879499,145.4253773
Finborough Court Shopping Centre,-36.39479300000001,145.3601241
Nugget's Crossing Court Yard,-36.41528640000001,148.6202252
Nuggets Crossing Shopping Centre,-36.4148821,148.6207008
Town Centre Shopping Center,-36.415999,148.6242391
Tallangatta IGA,-36.2161323,147.1793587
The Play Way,-36.009841,146.013618
Thurgoona Plaza,-36.0435779,146.9909359
Affordable Gates and Hay Feeders,-35.8044041,144.2078803
Jerrabomberra Village,-35.3807064,149.2011638
Googong North Village Centre,-35.422016,149.2364187
Karabar Shopping Mall,-35.3715138,149.2320775
IGA Holt,-35.224456,149.0115099
Holt Shops,-35.224642,149.0115648
Kippax Fair Shopping Centre,-35.2218013,149.0193863
Charnwood Shopping Centre,-35.2049556,149.0338349
Scott Chambers,-35.2234741,149.0207663
Tillyard Shops,-35.1985296,149.0442715
Fraser Shops,-35.1929139,149.0437825
Hillgrove Pottery,-34.9851451,149.0017012
Langtree Mall,-34.18480030000001,142.1607615
Centenary Arcade,-34.1844512,142.1600024
Irymple Hub,-34.2322027,142.1679796
The Lachlan Arcade,-33.3824375,148.0093581
Armada Bathurst Shopping Centre,-33.4182896,149.5827465
Bathurst City Centre,-33.4184711,149.5819719
Bathurst Chase,-33.41650109999999,149.5825052
Trinity Heights Shopping Village,-33.4058854,149.6002728
Kelso Centrepoint Shopping Centre,-33.4145424,149.6099596
Macquarie Plaza,-33.41655000000001,149.5822722
Bathurst Centrepoint Arcade,-33.4162937,149.5808892
HomeCentre Bathurst,-33.4212292,149.6174253
Bathurst Supa Centre,-33.4190922,149.6239668
