price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,CBD_distance,CBD_duration_time
560.0,1,3,1,House,5 Belchester Avenue,COLDSTREAM,3770.0,-37.7306,145.37866,"Coldstream Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Lilydale Heights College3.7 km away7-12CoEdGovernmentView Catchment,Lyrebird College0.4 km awayUCoEdPrivateMore Info",False,211051278.0,48276.0,3374.0
1000.0,2,5,2,House,106 BREAKNECK,YARRA GLEN,3775.0,-37.6576,145.35208,"Yarra Glen Primary School2 km awayPrep-6CoEdGovernmentView Catchment,Lilydale Heights College9.8 km away7-12CoEdGovernmentView Catchment",True,211051276.0,48109.7,3601.1
450.0,1,2,1,Apartment / Unit / Flat,4/1A Evelyn Grove,HEALESVILLE,3777.0,-37.648453,145.52449,"Healesville High School0.9 km away7-12CoEdGovernmentView Catchment,Healesville Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,St Brigid's School1.4 km awayPrep-6CoEdCatholicMore Info",False,211051276.0,68143.4,4588.3
650.0,1,2,2,House,10 Mary Street,EMERALD,3782.0,-37.926266,145.45303,"Emerald Secondary College0.5 km away7-12CoEdGovernmentView Catchment,Emerald Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Vermont South Special School25.4 km awayUCoEdGovernmentView Catchment",True,212011289.0,57950.4,3607.8
1500.0,2,4,0,House,15 Glenard Court,GEMBROOK,3783.0,-37.963146,145.56479,"Gembrook Primary School2.1 km awayPrep-6CoEdGovernmentView Catchment,Emerald Secondary College10.3 km away7-12CoEdGovernmentView Catchment",False,212011289.0,76997.5,4504.5
750.0,2,3,2,House,89 Main Street,GEMBROOK,3783.0,-37.952778,145.55148,"Gembrook Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Emerald Secondary College8.7 km away7-12CoEdGovernmentView Catchment,Fernbrook School4.4 km awayPrep-8CoEdPrivateMore Info",False,212011289.0,69305.4,4315.9
575.0,2,3,1,House,165 Mast Gully Road,FERNY CREEK,3786.0,-37.88825,145.33968,"Ferny Creek Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Upwey High School1.7 km away7-12CoEdGovernmentView Catchment,Vermont South Special School14.6 km awayUCoEdGovernmentView Catchment",False,211051282.0,45429.0,3217.2
695.0,1,3,0,House,270 Mount Dandenong Tourist Road,SASSAFRAS,3787.0,-37.872498,145.34473,"Sassafras Primary School1.5 km awayPrep-6CoEdGovernmentView Catchment,Upwey High School3.5 km away7-12CoEdGovernmentView Catchment,Vermont South Special School14.6 km awayUCoEdGovernmentView Catchment",False,211051282.0,47602.5,3321.7
520.0,1,2,1,House,1/333 Mt Dandenong Tourist Road,SASSAFRAS,3787.0,-37.866707,145.35286,"Sassafras Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Upwey High School4.4 km away7-12CoEdGovernmentView Catchment,Vermont South Special School15.3 km awayUCoEdGovernmentView Catchment",False,211051282.0,46496.4,3220.1
750.0,2,5,0,House,96 Macclesfield Rd,MONBULK,3793.0,-37.8635,145.4323,"Monbulk College2.2 km away7-12CoEdGovernmentView Catchment,Monbulk Primary School2.4 km awayPrep-6CoEdGovernmentView Catchment,Vermont South Special School22.2 km awayUCoEdGovernmentView Catchment",False,211051279.0,58242.7,4017.7
